"Company Name",Address,Place,Zip,Sector,Product,Website,Region
"Constructive Consulting",,"Austin, Texas,United States",,Solar,,https://constructiveconsulting.biz/,
"Contained Energy","Jalan Benda Raya 45",Jakarta,12560,"Bioenergy,Buildings,Efficiency,Hydropower,Marine Energy,Renewable Energy,Services,Solar,Wind energy",,http://www.containedenergy.com,
"Continuum Partners",,"Denver, Colorado",80202,Solar,"A Denver based real estate development company, also involved in Solar PV projects.",,
"Contrel Technology Corp",,"Tainan, Taiwan",744,Solar,"Taiwan-based LCD and thin-film solar PV manufacturing and testing equipment maker.",,
"Cool Earth Solar","4659 Las Positas Rd, Bldg C","Livermore, California",94551,Solar,"Electricty from High Concentrating PV",http://www.coolearthsolar.com/,"Bay Area"
"Cool Energy, Inc.","5541 Central Avenue","Boulder, Colorado",80301,Solar,"SolarFlow System",http://www.coolenergyinc.com,"Rockies Area"
"Cordes Graefe KG",,"Bremen, Bremen, Germany",28359,Solar,"Cordes & Graefe KG is involved in the GC-Group. The Company trades with solar equipment.",,
"CoreFlow Scientific Solutions Ltd",,"Yoqneam, Israel",20692,Solar,"Israel-based manufacturer of non-contact substrate processing, handling, and testing equipments for Flat Panel Display (FPD), semiconductor, and solar industries.",,
"Cornell Center for Regional Economic Advancement","144 East Ave, Ithaca NY 14853","Ithaca, New York,United States",14853,"Renewable Energy,Solar",,http://crea.cornell.edu,
"Corona Solar",,"Tholey-Theley, Germany","D 66636",Solar,"Engaged in solar passive large-size collectors.",,
"Corporate International Operations",,"Fountain Hills, Arizona","AZ 85268",Solar,"Supplier of solar cells, module manufacturing equipment and materials.",,
"Corum Solar Co Ltd",,"Taichung City 408, Taiwan",,"Efficiency,Solar","Photovoltaic, semiconductor, and microelectronics research institute for development of selective emitter high-efficiency silicon based solar cells.",,
Costco,,,,Solar,"US-based wholesaler. Costco is involved with rooftop solar installations located at it's various stores.",,
"Costruzioni Solari srl",,"Lecce, Italy",73020,Solar,"Italy-based company that operates exclusively in the solar energy field.",,
"Coveme Spa",,"San Lazzaro di Savena, Italy",40068,Solar,"Coveme specialises in the production of high performance films and papers, including back sheet for solar module protection.",,
"Cross Capital AG",,"Zug, Switzerland",6300,Solar,"Switzerland-based company that participates in enterprises of all kinds at home and abroad. The company Shares a 50% stake in the Ibersol STEG project with German solar developer Solar Millennium.",,
"Crystal Solar Inc",,"Santa Clara, California",94054,Solar,"California-based developer of silicon solar cells.",,
"Crystal Systems","27 Congress Street","Salem, Massachusetts",01970,Solar,"Silicon producer",http://www.crystalsystems.com/,"Greater Boston Area"
"Crystalox Ltd",,"Wantage (near Oxford), United Kingdom",,Solar,"Merged with PV Silicon AG in Erfurt, Germany to form PV Crystalox Solar AG in March 2001. Now absorbed.",,
D2Solar,"4425 Fortran Drive, Suite F, San Jose, CA 95134","San Jose, California,United States",95134,Solar,,http://www.d2solar.com/,
"DFSTW Investment Development Co Ltd",,"Sichuan Province, China",618201,"Solar,Wind energy","Splited from wind turbine maker Dongfang Steam Turbines Works (DFSTW) in December 2006, which focuses on the investment in the wind and solar sectors in favor of DFSTW.",,
"DI Semicon Co Ltd",,"Seoul, Seoul, Korea (Republic)",,Solar,"Korean company that offers testing and packaging of Display Drive ID,as of December 2007, entered into a secondary business in solar to provide CPV systems with Emcore.",,
"DISOLARFV Energia SL",,"Valladolid, Spain",47014,Solar,"Valladolid - based solar PV developer.",,
"DPW Solar","4000 B Vassar Dr. NE","Albuquerque, New Mexico",87107,Solar,"Renewable energy products and services",http://www.directpower.com/,
"DRI Companies",,"Irvine, California",92614,Solar,"US-based residential and commercial installer of turnkey solar systems, through subsidiary iDRI Energy.",,
"DS Deutsche Solargesellschaft mbH",,"Heilbronn, Germany",74074,Solar,"DS Deutsche Solargesellschaft markets PV installations in Spain to mostly German private investors.",,
"Daelim Solar Co Ltd",,"Korea (Republic)",,Solar,"South Korea-based solar heating systems manufacturer.",,
"Daewoo Engineering Company",,"Seongnam-Si, Korea (Republic)",463-825,Solar,"Complete engineering service provider offering R&D, engineering, design, procurement, construction, and project management,involved in building a 3MW solar power plant in South Jeolla.",,
"Dagan Solar Energy",,Israel,36052,Solar,"Develops and implements technologies in the field of solar thermal energy.",,
"Dai Nippon Printing Co Ltd",,"Shinjuku-ku, Tokyo, Japan",162-8001,Solar,"Print conglomerate which is involved with manufacturing components for fuel cells and solar sectors.",,
"Dainippon Screen Mfg Co",,"Kyoto, Kyoto, Japan",,Solar,"Japan-based company engaged in the manufacture and sale of electronic equipment and image information processing and solar PV product production equipment",,
"Daiyang Metal Co Ltd",,"Seoul, Seoul, Korea (Republic)",137-040,Solar,"Stainless steel manufacturing and CIGS solar cell maker.",,
"Dale Renewables Consulting",,California,,Solar,"PV marketing and installation firm, merged with Solar Power Inc in January 2007.",,
"Dalian Sengu New Power Electronic Co Ltd",,"Dalian, Liaoning Province, China",116013,"Solar,Wind energy","Active in the manufacturing of vertical axis wind turbines, solar components, solar-wind complementary power supply system, LED lighting system.",,
"Dalkia Solar",,"Agullent, Spain",46890,Solar,"Agullent-based installer of photovoltaic and solar thermal power plants.",,
"Dancraft Construction, EnergyWize Div.","702 Old Newton Pike","Troy, Ohio",45373,"Buildings,Efficiency,Geothermal energy,Solar","Agriculture,Consulting,Energy audits/weatherization,Energy provider: power production,Engineering/architectural/design,Installation,Investment/finances,Maintenance and repair,Retail product sales and distribution,Trainining and education",http://www.EnergyWizeNow.com,
"Danish Solar Energy PLC",,"Copenhagen - Freeport, Denmark",DK-2100,Solar,"Copenhagen-based producer of solar cell systems including turnkey solutions design/development, consultancy, project management and manufacture of modules, electronic hardware.",,
"Dansk Solar Energy","Glückstadtsvej 2","Copenhagen, Denmark",,Solar,,http://www.dansksolenergi.dk/indexuk.php,
"Darceo, Inc.","1675 Samco Road
Rapid City, SD 57702","Rapid City, South Dakota,United States",57702,"Services,Solar",,http://www.darceo.com/,
"Dasstech Co Ltd",,"Changwon, North Chungcheong, Korea (Republic)",,Solar,"Korean manufacturer of solar inverters, UPS, and installer of PV system.",,
"Dawu Silicon Park Co Ltd",,"Dawu County, Hubei Province, China",432800,Solar,"Chinese polysilicon manufacturer who uses self-developed metallurgical method to produce 6N solar-grade polysilicon.",,
"DayStar Technologies","2972 Stender Way","Santa Clara, California",95054,Solar,"Manufacturer of low-cost, high performance, CIGS thin film photovoltaic products",http://www.daystartech.com/,"Bay Area"
"Daylighter Daily Solar Roof Light","1991 Crocker Road, Suite 600","Cleveland, Ohio",44145,Solar,"Installation,Manufacturing",http://www.SolarLightisFree.com,
"Dazhan Photovoltaic Co",,"Wenzhou City, Zhejiang Province, China",,Solar,"China-based solar energy cell and LED automatic lighting systems manufacturer.",,
Dcode,"2000 Pennsylvania Ave NW, Suite 7000","Washington, DC,United States",20006,"Services,Solar",,https://dcode.co/,
"De Lage Landen",,"Eindhoven, Netherlands","P.O. Box 652","Solar,Wind energy","De Lagen Landen is a leasing company which is wholly owned by Rabo Bank. They have plans to move into Solar and Wind",,
"Declination Solar",,"San Francisco, California",,Solar,"San Francisco solar installation firm acquired by SolarCity in September 2006.",,
"Delaware Green Energy Programs","100 W. Water Street, Suite 5A","Dover, Delaware,United States",19904,"Solar,Wind energy","Distributed Wind Installation",https://dnrec.alpha.delaware.gov/energy-climate/renewable/assistance/,
"Delta Solar Group Pte Ltd",,Singapore,169876,"Services,Solar","Turnkey solar services provider.",,
"Denmark Solar Industry DSI",,"Copenhagen, Denmark",DK-1550,Solar,"Manufactures and distributes solar panels and systems.",,
"Department of Solar Energy and Environmental Physics",,"Sede Boqer Campus, Israel",84990,"Services,Solar","The department provides consultation services to government agencies and to municipalities with regard to the optimal utilisation of solar energy in specific projects, and to industry - on the development of novel solar devices.",,
"Depasol Eco Energy Systems",,"Trinitapoli, Italy",71049,Solar,"Manufacturer of PV modules and solar passive systems, plans an ingot and cell division as of January 2008.",,
"Dependable Solar Products, Inc.","4049 E. Presidio, Suite 127","Mesa, Arizona",85215,Solar,"Solar, Wind, Pool Pumping, Industrial Pumping and Supply and Water Sytems",http://www.dependablesolarproducts.com/,
"Des Grune Emissionshaus DGE GmbH",,"Freiburg im Breisgau, Germany","d- 79100","Solar,Wind energy","Des Grune Emissionshaus (DGE) GmbH is a financier of German wind and solar projects.",,
"Desert Solar",,"Apple Valley, California",92308,"Renewable Energy,Solar","Selling and installing commercial renewable energy projects, mainly solar.",,
"Despatch Industries",,"Minneapolis, Minnesota",55044,Solar,"Manufacturer of infrared drying and firing furnaces used in solar cell manufacture, and other thermal processing equipment.",,
"Deutsche Solar AG formerly Bayer Solar GmbH",,"Freiberg/Sachsen, Germany",9599,Solar,"Producers of mono- and multicrystalline silicon wafers for solar cells.",,
"Developing Energy Efficient Roof Systems DEERS",,"Ripon, California",95366,Solar,"Developer of roof top solar PV projects.",,
"Dhamma Energy",,"Madrid, Spain",28001,Solar,"Madrid-based solar project developer.",,
"Diamond Wire Technology LLC",,"Colorado Springs, Colorado",80916,Solar,"US-based manufacturer of diamond wire and wiresaws, used in solar wafer manufacturing.",,
"Digital Gas Inc",,"Dallas, Texas",,Solar,"Company with a number of subsidiaries involved in mining, solar power, waste burning, energy saving, farming and electronics.",,
"Dimas Solar",,"Argos, Greece",,Solar,"Makes solar passive systems, particularly collectors and absorbers.",,
"Direct Energy Inc.","12 Greenway Plaza, Suite 600","Houston, Texas",77046,"Renewable Energy,Services,Solar,Wind energy","Green Power Marketer",http://www.directenergy.com/,"Texas Area"
"Discover Power",,California,92109,"Renewable Energy,Solar","Distributor of solar electric and other renewable energy products.",,
"Distributed Solar Power Ltd Di S P",,"Yokneam, Israel",20692,Solar,"Distributed Solar Power Generation using miniature concentrated photovoltaic systems, which will also produce hot water.",,
"Domingos da Silva Teixeira SA DST",,"Braga, Portugal","4711 911","Solar,Wind energy","A group that is involved in civil construction and public works as well as project development in the wind and solar sector.",,
"Donauer Solartechnik Vertriebs GmbH",,"Gauting-Hausen, Germany",82131,Solar,"German-based solar photovoltaic and thermal equipment distributor. Also began developing its own projects.",,
"Dongguan Yecool Solar Energy Technology Co Ltd",,"Dongguan, Guangdong Province, China",523460,Solar,"A hi-tech corporation that produces solar energy photoelectrical products.",,
"Dongmyeong Jeonyeon Co Ltd",,"Busan, Korea (Republic)",,Solar,"Korea-based manufacturer of mainly rectifiers, battery chargers, and solar inverters.",,
"Dovetail Solar and Wind","16675 Canaanville Hills Rd.","Athens, Ohio",45701,"Bioenergy,Solar,Wind energy","Consulting,Engineering/architectural/design,Installation,Maintenance and repair,Retail product sales and distribution,Trainining and education",http://www.dovetailsolar.com,
"Dreisatz GmbH",,"Dresden, Saxony, Germany",,Solar,"Dresden-based solar project developer.",,
"DuPont Apollo",,"Hong Kong, Hong Kong",,Solar,"Hong Kong-based thin-film PV module manufacturer that provides solar energy solutions by doing research and development on PV technology and system.",,
"DuPont Electronic Technologies, Inc.","P.O. Box 89","Athens, Ohio",45701,Solar,,http://www2.dupont.com/Electronics/en_US/,
"Duke University Energy Initiative","Towerview Rd, Durham, NC 27710","Durham, North Carolina,United States",27710,"Efficiency,Hydropower,Renewable Energy,Solar,Wind energy",,http://duke.nicholas.edu,
"Dulas Ltd",,"Powys, Wales, United Kingdom","SY20 8AX","Biomass,Hydropower,Renewable Energy,Solar,Wind energy","Renewable energy consultancy encompassing all aspects of the industry from policy, market simulation and resource assessment right through to research, design, training and the implementation of wind, solar, small hydro and biomass projects.",,
"Dutch Space BV",,"Leiden, Netherlands",2333,Solar,"Leiden-based supplier of subsystems for the European space industry, including the production of solar arrays for spacecraft.",,
"DutchSolar BV",,"Deventer, Netherlands",,Solar,"Manufactures the GiraSolar brand of PV solar modules.",,
"Dyesol Timo JV",,"Seoul, Korea (Republic)",,Solar,"Joint venture between Dyesol and Timo Technology for solar cell manufacturing.",,
"Dyn Energia",,"Albacete, Spain",2001,Solar,"Spanish-based energy consultants. Own and operate at least one solar PV plant in Albacete, Spain",,
"Dynamic Worldwide Solar Energy",,,,Solar,"US-based solar developer and financer.",,
"E Village LLC",,"Muskegon, Michigan",49440,"Solar,Wind energy","Manufacturer of integrated battery/solar/wind products for commercial and residential markets.",,
"E5 Clean Energy",,"Agoura Hills, California",91301,Solar,"Sells solar energy systems.",,
"ECOfinance Group s r o",,"Prostějov, Czech Republic","796 01","Biomass,Renewable Energy,Solar,Wind energy","ECOfinance deals with the implementation of projects in the field of renewable energy sources - primarily wind, solar and biomass. The company owns projects as well as collaborates on the development projects for their clients.",,
ECOsponsible,"120 Mitchell Road Suite 100","East Aurora, New York,United States",14052-9710,"Renewable Energy,Hydropower,Solar",,http://www.ecosponsible.com,
"EDGE Energy LLC",,"Phoenix, Arizona",85018,Solar,"Arizona-based solar developer focused on building commercial and utility-scale projects throughout the American Southwest.",,
"EECH Group AG formerly European Energy Consult Holding P T Technology AG",,"Hamburg, Schleswig-Holstein, Germany",20354,"Solar,Wind energy","Manager of retail bond issues to fund wind, PV and solar thermal power projects.",,
"EIG Renewable Energy Company Euro Investments Group",,"Bath, United Kingdom","BA1 2UR","Biomass,Renewable Energy,Solar,Wind energy","Founded in 2004, EIG's goal is to develop and own renewable energy projects around the globe including wind, solar and biomass.",,
"ENECO Energie",,"Rotterdam, Netherlands","3000 CL","Biomass,Renewable Energy,Solar,Wind energy","Dutch-based energy company that transports, produces, trades and sells energy. Eneco has renewable interests predominantly in wind but also biomass and solar power projects.",,
"ENR Concept",,France,,Solar,"Solar power engineering firm.",,
"EPIR Technologies",,"Bolingbrook, Illinois",6044,Solar,"EPIR develops a line of products targeted toward the infrared sensor, biosensor and solar photovoltaic industries.",,
EPIcenter,"145 Navarro St.","San Antonio, Texas,United States",78205,Solar,,https://epicenterus.org,
"EPOD Solar Inc",,"Kelowna, British Columbia, Canada","V1V 2L9",Solar,"British Columbia-based thin-film a-Si PV maker as well as engineering, manufacturing and solar system installation company focused on large-scale project development.",,
"EPOD Solar Wales Ltd formerly ICP Solar Technologies Ltd",,"Mid Glamorgan, United Kingdom","CF31 3YN",Solar,"Research, development, manufacturing,marketing and sales of leading-edge solar energy products.",,
"EPURON GmbH formerly Voltwerk AG",,"Hamburg, Germany",20537,"Solar,Wind energy","Develops, finances, implements and operates solar, wind and biogas power projects.",,
"ESD Environmental Protection and Technology Co Ltd",,"Dongguan, Guangdong Province, China",523589,Solar,"A manufacturer of solar-power products.",,
"ESK SIC GmbH",,Germany,"D- 50226",Solar,"Supplier of silicon carbide for wire saws, with some solar applications.",,
"ESPEE Solar",,"Bangalore, Karnataka, India","560 091",Solar,"Distributor of solar thermal water heating systems and PV lights.",,
"ET Solar Group Formerly CNS Solar Industry",,"Nanjing, Jiangsu Province, China",210009,Solar,"A Chinese solar company specializing in ingot, wafer, modules and solar trackers production.",,
"EV Solar Products","2655 N. Highway 89","Chino Valley, Arizona",86323,Solar,"renewable energy products and services",http://www.evsolar.com/,
"EVAS Energy Group","Abdallah Ghosheh St., Amman , Jordan","Amman,Jordan",,"Biofuels,Buildings,Efficiency,Hydrogen,Renewable Energy,Solar,Wind energy",,http://www.evasgroup.com/,
"EZKlein Partners",,Israel,,"Biomass,Renewable Energy,Services,Solar","EZKlein specializes in the creation of White-Papers and Case Studies, and perform technical due diligence concerning projects related to solar energy and biomass, and provide capital and deal services for partners prepared to invest in renewable energy.",,
"Earth By Design",,"Bend, Oregon,United States",,"Hydropower,Renewable Energy,Solar",,http://www.earthbydesign.com/,
"Echogen Power Systems, Inc.","405 S. High Street","Akron, Ohio",44311,"Carbon,Efficiency,Geothermal energy,Services,Solar","Energy provider: power production,Engineering/architectural/design,Manufacturing,Research and development",http://www.echogen.com,
"Eco Delta Developpement",,"La Ciotat, France",13705,"Renewable Energy,Solar,Wind energy","Created in 2002, Eco Delta DÃ©veloppement promotes and develops renewable energy projects, mostly in the wind and solar sectors.",,
"Eco Energy International, LLC","233 Park Ave East","Mansfield, Ohio,United States",44902,"Bioenergy,Biofuels,Biomass,Hydrogen,Renewable Energy,Solar,Wind energy",,http://www.EcoEnergyInternational.com,
"Eco2 Ltd",,"Cardiff,United Kingdom","CF23 8RS","Biomass,Marine Energy,Renewable Energy,Solar,Wind energy",,http://www.eco2uk.com/index.asp,
"EcoGen Projects Ltd",,"Machynlleth, United Kingdom","SY20 8WE","Renewable Energy,Solar,Wind energy","Renewable energy project developer involved in wind and solar.",,
"EcoGeneration Solutions LLC",,"Houston, Texas",77070,Solar,"Holds several technology companies in the fields of cogeneration and solar energy systems.",,
"EcoSolar Systems India Ltd",,"Pune, Maharashtra, India",411030,Solar,"Manufactures and distributes own-brand solar water heating systems, solar PV lanterns and a solar cooker.",,
Ecoenergias,,Spain,,Solar,"An investor in Solar Parks of Extremadura, with Deutsche Bank, to develop PV parks in Spain.",,
"Ecogy Solar","Urban Future Lab, 19th floor 15 Metro tech, Brooklyn 11021 NY","United States",,Solar,,http://www.ecogysolar.com/,
"Ecological Estates","14812 Avery Ranch Suite 52, P.O.Box 171214, Austin, Texas 78717","Austin, Texas,United States",78717,"Renewable Energy,Services,Solar",,http://www.ecoestates.us/,
"Ecosenergy GmbH JV",,Germany,,Solar,"Germany-based Joint venture to develop solar PV projects.",,
"Ecosonnen CB",,"Alicante, Spain",,"Solar,Wind energy","Distributor and installer of solar PV and thermal modules and wind microturbines.",,
Ecostream,,"Utrecht, Netherlands","NL-3526 KL",Solar,"Dutch provider of turnkey solar power plants and PV systems.",,
"Ecosystem Japan Co Ltd",,"Tokyo, Tokyo, Japan",160-0002,Solar,"Japan-based installer of solar panels.",,
Ecotecnia,,"Barcelona, Spain",8005,"Solar,Wind energy","Spanish wind turbine manufacturer, wind park developer, and solar project developer.",,
"Ecowatt Design LLC","10900 Northwest Fwy","Houston, Texas",77092,Solar,"Solar power system installation for residential & commercial customers",http://www.ecowattdesign.com/,"Texas Area"
"Edison Solar & Wind Ltd","11 E. Church St, #57","Milan, Ohio",44846,"Geothermal energy,Solar,Wind energy","Agriculture,Consulting,Energy provider: power production,Engineering/architectural/design,Installation,Retail product sales and distribution",http://edisonsolar.net,
"Edisun Power AG",,"Zurich, Switzerland",8006,Solar,"Edisun Power Europe AG finances, acquires and operates solar power installations, and markets solar power.",,
"Edwards Ltd",,"Crawley, United Kingdom","RH10 9LW",Solar,"UK capital equipment manufacturer for semiconductors, LEDs, flat panel displays, and solar cells,for solar, offers vacuum and abatement systems.",,
"EffiSolar Energy Corporation",,"Coquitlam, British Columbia, Canada",V3K6V2,Solar,"Canadian based project developer focused on utility-scale solar energy projects in Canada and the United States",,
"Efun Technology Co Ltd",,"Tainan, Taiwan",70955,Solar,"Efun Technology principally engaged in the manufacture of optical film and is diversifying into the thin film solar sector.",,
"Eifelstrom AG",,Germany,,Solar,"Holding company belonging to the family of Frank Asbeck, founder of Solar World AG.",,
"Eiko Trading Corporation",,Japan,,Solar,"Eiko develops solar pv projects in Japan and is expected to enter the German market in 2009.",,
"Eisenbeiss Solar AG",,"Augsburg, Germany",,"Geothermal energy,Solar","Eisenbeiss Solar is a German-based company which offers domestic heating systems combining solar passive, wood burning, geothermal heat pumps and fossil fuel.",,
"Ekarat Solar Company Ltd",,"Bangkok, Thailand",10250,Solar,"A solar PV modules manufacturer and a subsidiary company of Ekarat Engineering Public Company Limited, a transformer manufacturer in Thailand and in South Eastern Asia.",,
"El Ma Electronic Machining srl",,"Riva del Garda (TN), Italy",38066,"Hydropower,Hydrogen,Solar,Wind energy","Italy-based, industrial company which specializes in project planning, realization, and the supply of remotely managed turnkey machines customized to specific industrial manufacturing and production needs. El.Ma is involved in the hydrogen, fuel cell, wind and solar sectors.",,
"Electricidad Alsanbo S A",,Spain,,Solar,"Elche-based industrial electrical maintence company. Involved in the development of solar plants.",,
"Electrogen Technologies",,"Nairobi, Kenya",,Solar,"A Kenyan firm who sets up a solar panel joint venture with a Chinese firm in Kenya.",,
"Electromechanical Engineering Consulting Group ECG",,"San Jose, Costa Rica",1521-1000,Solar,"Costa Rica based solar thermal and PV installer engineering company.",,
"Electromobiles Pvt Ltd",,"Colombo, Sri Lanka",,Solar,"Manufacturers of solar powered motor bikes and cars.",,
"Electron Solar Energy Formerly Envigra Inc",,"Miami, Florida",33137,Solar,"US-based distributor of electrical equipments such as batteries, solar panels, inverters and wires.",,
"Elektra Holding",,"Sofia, Bulgaria",,"Biomass,Hydropower,Solar,Wind energy","A company owned by a group of Spanish families operating in Bulgaria, Ukraine, Belarus, Cyprus and Mexico developing wind, small hydro, biomass and solar.",,
"Elemental Energy","14500 SW 92nd Ave","United States,Portland, Oregon",97224,"Biofuels,Biomass,Buildings,Efficiency,Geothermal energy,Renewable Energy,Solar,Vehicles,Wind energy",,http://www.elementalenergy.net,"Pacific Northwest Area"
"Elemental Energy LLC",,"New York, New York",10065,Solar,"Elemental Energy develops, owns and operates distributed solar energy facilities and sells solar-generated electricity through Power Purchase Agreements (PPA).",,
"Elemental Excelerator (Honolulu)",,"Honolulu, Hawaii,United States",,"Renewable Energy,Solar",,https://elementalexcelerator.com/,
"Elemental Excelerator (Palo Alto)",,"Palo Alto, California,United States",,"Renewable Energy,Solar",,https://elementalexcelerator.com/,
"Elite Solar Advisors","900 West St","Mansfield, Massachusetts,United States",02048,"Renewable Energy,Services,Solar","Residential Solar,Commercial Solar",https://elitesolaradvisors.com,
"Elkem Solar",,"Oslo, Norway",303,Solar,"Norwegian manufacturer of solar grade silicon that uses metallurgical process.",,
"Emel Bratislava",,"Bratislava, Slovakia","851 01",Solar,"Slovak IT systems company with activities in solar PV projects.",,
"Emergent Solar Energy","Purdue Research Park
1281 Win Hentschel Blvd.,
West Lafayette, IN  47906","West Lafayette, Indiana,United States",47906,Solar,https://emergentsolar.energy/agriculture/,https://www.emergentsolar.energy,
"Emerging Energy Consultants","3307 Nicholas Court","Ijamsville, Maryland",21754,Solar,"Consulting on emerging energy technologies",,
"EmmVee Solar Systems Pvt Ltd ESSPL",,"Bangalore, Karnataka, India","560 024",Solar,"Manufactures and markets solar thermal and solar photovoltaic products.",,
"Empower Energy Technology","245 N. Highland Avenue, Suite 230.162","Atlanta, Georgia",30307,Solar,,http://www.empoweret.com,
"EnXco GmbH",,"Pinneberg, Germany",D-25421,"Solar,Wind energy","Wind and solar energy project developer.",,
Enbion,,Germany,,Solar,"Germany-based biogas and solar project developer.",,
"Enbion GmbH",,"LÃ¼neburg, Germany",21335,Solar,"Germany-based biogas and solar project developer.",,
"Encap Development LLC",,Massachusetts,17200,"Efficiency,Renewable Energy,Services,Solar","encap development is a developer, owner and operator of renewable energy projects, focusing on solar electricity generation and biogas-to-electricity DG applications. Our experience with utility-scale projects, as well as distributed generation/behind-the-meter projects, enables us to bring large project skills efficiently to smaller and medium sized projects on a scalable, portfolio basis. Our focus has always been renewable and alternative energy projects and technologies and energy management. encap renewables is a division of Encap Development LLC. Encap Development provides energy project and management advisory services, with a focus on energy efficiency and renewables, to commercial and industrial energy users,investors,government agencies,and project developers.",,
"Endurance Energies",,"Paris, France",75009,Solar,"Paris-based developer of solar PV rooftop projects.",,
"Enel Erelis formerly Erelis SAS",,"Lyon, France",69002,"Hydropower,Renewable Energy,Solar,Wind energy","The french subsidiary of Enel since its acquisition in July 2006, Enel Erelis specializes in the development of renewable energy projects (wind, solar and hydro-electric) as well as water treatment facilities.",,
"Enel Green Power SpA formerly Erga SpA",,"Pisa, Italy",56122,"Geothermal energy,Hydropower,Renewable Energy,Solar,Wind energy","Rome-based renewable energy division of Enel S.p.A, developing and managing operations in wind, solar, geothermal mini-hydro.",,
"Ener Solar Technology srl",,Italy,,Solar,"Solar project developer.",,
"Ener T",,Israel,,"Services,Solar","Offers full turnkey services for thermo-solar power plants.",,
"EnerKnol, Inc.",,"Brooklyn, NY,United States",,"Bioenergy,Biofuels,Biomass,Buildings,Carbon,Efficiency,Geothermal energy,Hydropower,Hydrogen,Nuclear,Marine Energy,Petroleum,Renewable Energy,Services,Solar,Transmission,Vehicles,Wind energy","EnerKnol Platform",https://enerknol.com,
"EnerWise, Inc.","600 William Street Apartment 338
Oakland, CA 94612","United States,Oakland, California",94612,"Renewable Energy,Solar",,http://thecleanweb.org,
"EnerWorks Inc",,"Ontario, Canada","NOL 1GO",Solar,"Ontario-based solar water heating system manufacturer and installer.",,
Enerbrax,,Brazil,,Solar,"Brazilian company planning to build a 50Mw solar thermal plant in Paraiba with Amda.",,
Enercome,,Spain,,Solar,"Production and maintenence of solar powered air conditioning systems, that can also be used as water heaters.",,
"Energeo sro",,"Prague 3, Czech Republic","130 00",Solar,"Czech - French company developing solar PV projects in the Czech Republic.",,
"Energetic Insurance","2 Avenue de Lafayette FL 4","Boston, MA,United States",02111,"Services,Solar",,https://www.energeticinsurance.com/,
"Energia Ercam SA",,"Guadalajara, Spain",19171,Solar,"Builds a dual axis tracking system for solar plants.",,
"Energias Renovables del Bio Bio ERBB",,Chile,,"Biofuels,Hydropower,Solar,Wind energy","Chilean-based project developer company, focus on small hydro, wind, solar and biofuels sectors.",,
"Energie Solaire",,"3960 Sierre / Valais, Switzerland",3960,Solar,"Sierre-based division of Granit Solar which develops thermal solar technology and associated products.",,
"EnergiePerformance Sugg GmbH",,"Karlsruhe, Baden-WÃ¼rttemberg, Germany",76131,Solar,"German-based solar project developer, EnergiePerformance Sugg GmbH provides planning, consulting and setting in the solar and photovoltaic area.",,
"Energiebau Solarstromsysteme GmbH",,"KÃ¶ln, Germany",50829,"Efficiency,Solar","A German system provider and wholesaler for solar power and energy efficiency projects.",,
"Energies Nouvelles et Environnement NV ENE",,"Brussels, Belgium",B-1150,Solar,"Producer of photovoltaic solar power systems for space and terrestrial use.",,
"Energistic Systems","13551 W. 43rd Street Dr","Golden, Colorado",80403,Solar,"Solar PV and solar thermal systems",http://www.energisticsystems.us/,"Rockies Area"
"Energreen Co Ltd",,"Seoul, Seoul, Korea (Republic)",,Solar,"Korea-based manufacturer of Ni-MH power storage and the like specifically designed to store solar power.",,
"Energsoft Inc.","701 17th AVE #201","Seattle, Washington,United States",98122,"Batteries and Storage,Transportation,Solar",,https://energsoft.com/,
"Energy Alliance",,"Freiburg, Germany",79110,Solar,"Germany-based, research group at the Fraunhofer Institute for Solar Systems.",,
"Energy Conservation Technologies Econ Inc",,"Boulder, Colorado",80301,"Efficiency,Solar","Energy Conservation Technologies Inc focuses on high efficiency electronic power conversion for the growing needs of the lighting, telecommunications, solar and fuel cell industries.",,
"Energy Consult Projektgesellschaft mbH",,"Husum, Germany",25813,"Solar,Wind energy","Husum head-quartered wind and solar energy consultants.",,
"Energy Conversion Devices Inc aka ECD Ovonics",,"Rochester Hills, Michigan",48309,Solar,"Michigan-based materials developer and holding company for thin-film silicon PV manufacturer United Solar Ovonics.",,
"Energy Enterprises",,"Mays Landing, New Jersey",8330,Solar,"Energy Enterprises is a licensed dealer, installer, and servicer of solar energy systems, serving residential and commercial customers primarily in southern New Jersey.",,
"Energy Innovations","130 W. Union St","Pasadena, California",91103,Solar,"Small-scale concentrated PV",http://www.energyinnovations.com/,"Southern CA Area"
"Energy Intelligence Partners","1414 Raleigh Rd, Ste 429 Chapel Hill, NC 27514","Chapel Hill, North Carolina,United States",27514,"Renewable Energy,Solar",,http://www.energyintelligencepartners.com/,
"Energy Optimizers USA","6 S. 3rd Street","Tipp City, Ohio",45371,"Biomass,Carbon,Geothermal energy,Services,Solar,Wind energy","Business and legal services,Consulting,Energy audits/weatherization,Engineering/architectural/design,Installation,Investment/finances,Trainining and education",http://www.energyoptimizersusa.com,
"Energy Recommerce Inc",,"San Francisco, California",94123,Solar,"US-based manufacturer of internet-based remote solar monitoring system.",,
"Energy Savings Store","15209 W. 99th Street","Lenexa, Kansas",66219,Solar,"Solar and wind systems",http://www.ewindandsolar.com/,
